alg,duration,alpha,n_records,beta,density,n_edges
hopcroft_karp,0.07176804542541504,0.8,1000,0.7909999999999999,0.0008368368368368367,1671
edmonds_karp,0.3465726375579834,0.8,1000,0.7909999999999999,0.0008368368368368367,1671
push_relabel,0.09164690971374513,0.8,1000,0.7909999999999999,0.0008368368368368367,1671
hopcroft_karp,0.0840294361114502,1.0,1000,0.679,0.0016476476476476474,3292
edmonds_karp,0.3564431667327881,1.0,1000,0.679,0.0016476476476476474,3292
push_relabel,0.09337091445922853,1.0,1000,0.679,0.0016476476476476474,3292
hopcroft_karp,0.09940600395202637,1.5,1000,0.39,0.006086086086086086,12160
edmonds_karp,0.4620070457458496,1.5,1000,0.39,0.006086086086086086,12160
push_relabel,0.11368322372436525,1.5,1000,0.39,0.006086086086086086,12160
hopcroft_karp,0.3885200023651123,0.8,5000,0.6228,0.000800240048009602,40004
edmonds_karp,7.575317621231079,0.8,5000,0.6228,0.000800240048009602,40004
push_relabel,0.4268641471862793,0.8,5000,0.6228,0.000800240048009602,40004
hopcroft_karp,0.4230022430419922,1.0,5000,0.44799999999999995,0.001657771554310862,82872
edmonds_karp,9.599326848983763,1.0,5000,0.448,0.001657771554310862,82872
push_relabel,0.5246555805206299,1.0,5000,0.448,0.001657771554310862,82872
hopcroft_karp,0.709118127822876,1.5,5000,0.1688,0.006166033206641329,308240
edmonds_karp,15.254639625549315,1.5,5000,0.16879999999999995,0.006166033206641329,308240
push_relabel,1.053537368774414,1.5,5000,0.16879999999999995,0.006166033206641329,308240
hopcroft_karp,0.9354171752929688,0.8,10000,0.5611,0.00080996099609961,161976
push_relabel,1.1377882957458496,0.8,10000,0.5610999999999999,0.00080996099609961,161976
hopcroft_karp,1.0154454708099363,1.0,10000,0.3713,0.0016736073607360735,334688
push_relabel,1.5242905616760254,1.0,10000,0.3713,0.0016736073607360735,334688
hopcroft_karp,1506.3424463272095,1.5,10000,0.1205,0.006225602560256026,1244996
push_relabel,3.7768061161041264,1.5,10000,0.12050000000000005,0.006225602560256026,1244996
hopcroft_karp,11.359319686889648,0.8,50000,0.47381999999999996,0.0008176515530310607,4088176
push_relabel,21.023964643478394,0.8,50000,0.47381999999999996,0.0008176515530310607,4088176
hopcroft_karp,12.826939582824707,1.0,50000,0.27605999999999997,0.0016921010420208405,8460336
push_relabel,32.1382999420166,1.0,50000,0.27606,0.0016921010420208405,8460336
hopcroft_karp,98.39430546760559,1.5,50000,0.06426,0.006275027100542011,31374508
push_relabel,92.61247253417969,1.5,50000,0.06425999999999997,0.006275027100542011,31374508
hopcroft_karp,21.873892545700073,0.8,75000,0.46092,0.0008175294781708201,9197084
push_relabel,46.66432738304138,0.8,75000,0.46092,0.0008175294781708201,9197084
hopcroft_karp,25.319692850112915,1.0,75000,0.26426666666666665,0.0016855940301426242,18962680
push_relabel,74.34515380859375,1.0,75000,0.26426666666666665,0.0016855940301426242,18962680
hopcroft_karp,263.11335253715515,1.5,75000,0.058839999999999996,0.006242957906105415,70232340
push_relabel,216.732515335083,1.5,75000,0.058839999999999996,0.006242957906105415,70232340
hopcroft_karp,1821.3394951820374,1.75,75000,,0.010100953523824762,113634212
push_relabel,337.97866153717035,1.75,75000,0.03265333333333331,0.010100953523824762,113634212
hopcroft_karp,39.13772535324097,0.8,100000,0.4545,0.0008176257762577626,16352352
push_relabel,85.08670115470886,0.8,100000,0.4545,0.0008176257762577626,16352352
hopcroft_karp,49.91228699684143,1.0,100000,0.25658000000000003,0.001684141241412414,33682488
push_relabel,130.90249228477478,1.0,100000,0.25658000000000003,0.001684141241412414,33682488
hopcroft_karp,878.568797826767,1.5,100000,0.05507000000000002,0.006236518765187653,124729128
push_relabel,391.6470868587494,1.5,100000,0.05506999999999995,0.006236518765187653,124729128
hopcroft_karp,1834.175781726837,1.75,100000,,0.010094915349153492,201896288
push_relabel,620.139538526535,1.75,100000,0.02993999999999997,0.010094915349153492,201896288
